//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
208	S-dNAM03-1d-W-D15	c.ProbeDvar c.T TT d-dNAM03-1d-W-D15
209	S-dNAM03-1d-W-D16	c.ProbeDvar c.T TT d-dNAM03-1d-W-D16
210	S-dNAM03-1d-W-D17	c.ProbeDvar c.T TT d-dNAM03-1d-W-D17
211	S-dNAM03-1d-W-D18	c.ProbeDvar c.T TT d-dNAM03-1d-W-D18
212	S-dNAM03-1d-W-D19	c.ProbeDvar c.T TT d-dNAM03-1d-W-D19
213	S-dNAM03-1d-W-D20	c.ProbeDvar c.T TT d-dNAM03-1d-W-D20
214	S-dNAM03-1d-W-D21	c.ProbeDvar c.T TT d-dNAM03-1d-W-D21
215	S-dNAM03-1d-W-D22	c.ProbeDvar c.T TT d-dNAM03-1d-W-D22
216	S-dNAM03-1d-W-D23	c.ProbeDvar c.T TT d-dNAM03-1d-W-D23
217	S-dNAM03-1d-W-D24	c.ProbeDvar c.T TT d-dNAM03-1d-W-D24
218	S-dNAM03-1d-W-D25	c.ProbeDvar c.T TT d-dNAM03-1d-W-D25
219	S-dNAM03-1d-W-D26	c.ProbeDvar c.T TT d-dNAM03-1d-W-D26
220	S-dNAM03-1d-W-D27	c.ProbeDvar c.T TT d-dNAM03-1d-W-D27
221	S-dNAM03-1d-W-D28	c.ProbeDvar c.T TT d-dNAM03-1d-W-D28
222	S-dNAM03-1d-W-D29	c.ProbeDvar c.T TT d-dNAM03-1d-W-D29
223	S-dNAM03-1d-W-D30	c.ProbeDvar c.T TT d-dNAM03-1d-W-D30
224	S-dNAM03-1d-W-D31	c.ProbeDvar c.T TT d-dNAM03-1d-W-D31
225	S-dNAM03-1d-W-D32	c.ProbeDvar c.T TT d-dNAM03-1d-W-D32
226	S-dNAM03-1d-W-D33	c.ProbeDvar c.T TT d-dNAM03-1d-W-D33
227	S-dNAM03-1d-W-D34	c.ProbeDvar c.T TT d-dNAM03-1d-W-D34
228	S-dNAM03-1d-W-D35	c.ProbeDvar c.T TT d-dNAM03-1d-W-D35
229	S-dNAM03-1d-W-D36	c.ProbeDvar c.T TT d-dNAM03-1d-W-D36
230	S-dNAM03-1d-W-D37	c.ProbeDvar c.T TT d-dNAM03-1d-W-D37
231	S-dNAM03-1d-W-D38	c.ProbeDvar c.T TT d-dNAM03-1d-W-D38
232	S-dNAM03-1d-W-D39	c.ProbeDvar c.T TT d-dNAM03-1d-W-D39
233	S-dNAM03-1d-W-D40	c.ProbeDvar c.T TT d-dNAM03-1d-W-D40
234	S-dNAM03-1d-W-D41	c.ProbeDvar c.T TT d-dNAM03-1d-W-D41
235	S-dNAM03-1d-W-D42	c.ProbeDvar c.T TT d-dNAM03-1d-W-D42
236	S-dNAM03-1d-W-D43	c.ProbeDvar c.T TT d-dNAM03-1d-W-D43
237	S-dNAM03-1d-W-D44	c.ProbeDvar c.T TT d-dNAM03-1d-W-D44
238	S-dNAM03-1d-W-D45	c.ProbeDvar c.T TT d-dNAM03-1d-W-D45
239	S-dNAM03-1d-W-D46	c.ProbeDvar c.T TT d-dNAM03-1d-W-D46
240	S-dNAM03-1d-W-D47	c.ProbeDvar c.T TT d-dNAM03-1d-W-D47
241	S-dNAM03-1d-W-D48	c.ProbeDvar c.T TT d-dNAM03-1d-W-D48
242	S-ProbeA	T ProbeAvar
243	S-ProbeB	T ProbeBvar
244	S-ProbeC	T ProbeCvar
245	S-ProbeD	T ProbeDvar
